"","date","AT","BE","BG","CH","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IE","IT","LV","NL","NO","PL","PT","RO","SE","SI","SK"
"589",2016-08-11,6566.79166666667,9358.125,4022,6082.13875,6814.11958333333,54534.0416666667,3666.86125,836.404166666667,28349.25,8648.225,41921.1666666667,6838.375,1849.875,4508.29166666667,3023.875,27046.1666666667,761.458333333333,12240.8333333333,12493.6625,18169.0820833333,5817.17916666667,6461.33333333333,12756.0416666667,1314.20791666667,3083.25
"590",2016-08-12,6562.25,9142.95833333333,3643.70833333333,6051.91,6628.81041666667,54241.5416666667,3513.58625,827.645833333333,28591.2083333333,8452.74583333333,42522.625,6285.16666666667,1836.04166666667,4416.45833333333,2978.66666666667,25930.0833333333,758.5,12198.75,12431.5020833333,18053.3733333333,5813.5375,6038.58333333333,12606.9583333333,1275.96208333333,3056.29166666667
"591",2016-08-13,5636.91666666667,8233.58333333333,3454.58333333333,5562.57541666667,5801.93333333333,46340.7083333333,2972.17458333333,729.808333333333,26027.625,7938.425,39695.3333333333,5314,1769.54166666667,4086.79166666667,2706.33333333333,23638.75,685.541666666667,10831,11328.9841666667,16168.5920833333,5214.62083333333,5552.875,11545.875,1166.2675,2831.16666666667
"592",2016-08-14,5114.5,7838.20833333333,3438.83333333333,5498.43166666667,5787.84208333333,42090.5,2975.16625,718.108333333333,24074.5833333333,7736.82083333333,37292.875,4834.375,1677.75,3984.95833333333,2586.83333333333,21918.5833333333,661.625,10116.6666666667,10908.2820833333,14484.6116666667,4813.65416666667,5035.16666666667,11516.25,1088.00375,2752.95833333333
"593",2016-08-15,5306.54166666667,7876.70833333333,3672.58333333333,6174.1625,6906.82916666667,52324.4166666667,3605.53791666667,837.520833333333,24839.9583333333,8554.28333333333,38141.2916666667,4652.625,1665.20833333333,4603.375,2933.625,21937.125,766.458333333333,11965,12015.535,13885.60625,4753.59166666667,5164.33333333333,13335.7916666667,1116.08416666667,3083
"594",2016-08-16,6714.125,9289.83333333333,3826.875,6460.2825,7012.97458333333,54809.8333333333,3707.19291666667,878.1,28567.875,8522.14166666667,43628.625,5720.08333333333,1942.95833333333,4615.20833333333,3028.29166666667,25865.4166666667,783.458333333333,12160.375,12097.5058333333,17792.2725,5227.07083333333,6134.54166666667,13424.8333333333,1383.82666666667,3156.83333333333
"595",2016-08-17,6769.91666666667,9614.91666666667,3900.70833333333,6480.94708333333,7029.81875,55035,3720.27416666667,862.020833333333,29076.0416666667,8528.3375,44047.5833333333,6206.58333333333,1979.08333333333,4605.83333333333,3092.66666666667,26479.4166666667,787.833333333333,12191.6666666667,12006.5633333333,18522.32875,5321.81666666667,6201.25,13632.0833333333,1437.86458333333,3118.54166666667
"596",2016-08-18,6875.79166666667,9586,3894.08333333333,6550.08125,7036.9425,55506.0833333333,3695.4275,861.7375,29546.25,8536.4,43922.9166666667,6386.08333333333,1971.83333333333,4591.58333333333,3050.375,26865.375,782.583333333333,12369.4583333333,11889.2370833333,18632.4725,5272.675,6218.08333333333,13786.7083333333,1427.77541666667,3152.70833333333
"597",2016-08-19,6790.54166666667,9654.16666666667,3845.125,6451.2325,6889.61916666667,54511,3635.94791666667,839.904166666667,29745.9166666667,8477.12083333333,43910.875,6336.33333333333,1981.875,4592.66666666667,3024.70833333333,27380.5833333333,777.875,12617.0833333333,11666.7025,18843.84875,5325.54166666667,6194.20833333333,13388.7916666667,1426.06208333333,3160.91666666667
"598",2016-08-20,5863.20833333333,8398.33333333333,3651.25,6042.51708333333,5977.96041666667,47032.6666666667,3195.42125,717.829166666667,27286.8333333333,7856.86666666667,39665.2916666667,5991.54166666667,1886.75,3832.5,2773.70833333333,26477.4583333333,693.625,10934.875,11053.8245833333,16856.74125,4777.48333333333,5819.66666666667,11610.25,1264.88125,2865.54166666667
"599",2016-08-21,5519.04166666667,8048.58333333333,3613.79166666667,5723.65541666667,5892.135,42961.7083333333,3115.96083333333,713.404166666667,24922.9583333333,7706.775,36930.2916666667,5729.54166666667,1781.70833333333,3953.5,2627.45833333333,24816.875,686.208333333333,10580.7083333333,10882.55625,15285.4416666667,4577.50416666667,5413.95833333333,11807.5,1187.11458333333,2799.25
"600",2016-08-22,6859,9592.54166666667,3943.75,6392.46875,7019.80291666667,55882.2083333333,3728.86958333333,862.645833333333,30110.7916666667,8481.46666666667,44612.875,6635.70833333333,1903.875,4613.79166666667,2987.95833333333,29789.9166666667,796.208333333333,12805.5416666667,11994.2375,18486.3675,5383.70416666667,6396.04166666667,13389.0416666667,1372.26958333333,3207.54166666667
"601",2016-08-23,6846.125,9888.54166666667,3849.58333333333,6401.12,7158.32625,56600.5833333333,3768.59458333333,850.116666666667,30711.5,8433.32916666667,46737.25,6292.125,1935.58333333333,4682.95833333333,3056,31269.75,788.583333333333,12987.4166666667,12086.8416666667,19011.6983333333,5545.01666666667,6457.33333333333,13229.2916666667,1426.41,3232.45833333333
"602",2016-08-24,7006.20833333333,9978.33333333333,3875.70833333333,6705.75291666667,7227.5975,56948.7916666667,3745.64458333333,862.491666666667,30627.2083333333,8417.30416666667,47737.0416666667,5894.58333333333,1962.75,4758.95833333333,3004.25,32005.125,785.625,13360.375,12026.835,19247.6433333333,5575.51666666667,6433.41666666667,13380,1473.87458333333,3252.16666666667
"603",2016-08-25,7043.29166666667,10191.7916666667,3857.25,6871.49208333333,7227.68541666667,57161.125,3774.73458333333,867.129166666667,30424.7916666667,8699.28333333333,48748.25,5911.375,1970.125,4790.54166666667,3011.70833333333,33097.0416666667,783.75,13719.9583333333,12168.0904166667,19110.1908333333,5517.92083333333,6376.91666666667,13399.7083333333,1474.71291666667,3240.16666666667
"604",2016-08-26,6894.375,10046,3810.33333333333,6815.70958333333,7024.85625,56585.6666666667,3556.245,862.7125,30348.5833333333,8626.93333333333,48424.7916666667,5729.83333333333,1982.125,4784.29166666667,2940.875,33604.0416666667,784.875,13492.0833333333,11924.9775,18994.30375,5575.44583333333,6275,12956.8333333333,1482.94875,3223.45833333333
"605",2016-08-27,5861.375,8815.20833333333,3585.54166666667,6020.53166666667,6043.99083333333,48218.8333333333,3030.67458333333,725.979166666667,27512.3333333333,7935.90833333333,43401.5833333333,5439.33333333333,1867.58333333333,4318.54166666667,2702.375,29531.5833333333,691.041666666667,11570.375,11111.5916666667,17079.6233333333,5012.62916666667,5820.58333333333,11389.7916666667,1318.60083333333,2941.58333333333
"606",2016-08-28,5451.29166666667,8227.375,3518.20833333333,5771.93666666667,6037.81,44488.5833333333,3047.4275,711.1,26043.2083333333,7765.51666666667,39810.375,5239.95833333333,1738.875,4104.625,2593.91666666667,27115.875,660.375,11065.125,11390.4608333333,15473.6520833333,4677.45833333333,5317.625,11807.0416666667,1224.90708333333,2803.91666666667
"607",2016-08-29,7173.29166666667,9747.70833333333,3860.125,6898.57333333333,7244.64083333333,57482.9166666667,3548.87083333333,845.541666666667,31240.1666666667,8703.475,47089.25,6147.58333333333,2009.25,4809.83333333333,2964.875,35803.4583333333,773,13155.9166666667,12330.895,18902.96125,5429.675,6254.20833333333,13515.875,1480.53875,2913
"608",2016-08-30,7091.04166666667,9821.29166666667,3944.20833333333,7013.16916666667,7221.60583333333,56830.5,3679.40708333333,856.208333333333,31341.0416666667,8606.64583333333,48209.9583333333,6416.70833333333,2090.29166666667,4872.29166666667,3046.45833333333,37647.6666666667,770,13061.375,12390.95,19014.4345833333,5562.76666666667,6571.04166666667,13456.4583333333,1500.33875,3192.58333333333
